keyword;keyword_type;syntax_highlight_type
ChildInputValue;Property;Keyword
Choices;Property;Keyword
CHOOSE;Event;Keyword
CHOOSE;Statement;Statement
CHR;Function;Keyword
CLASS-TYPE;Attribute;Keyword
CLASS;Option;Keyword
CLASS;Statement;Statement
CLASS;Type;Type
CLEAR-APPL-CONTEXT;Method;Keyword
CLEAR-LOG;Method;Keyword
CLEAR-SELECT;Method;Keyword
CLEAR-SELECTION;Method;Keyword
CLEAR-SORT-ARROW;Method;Keyword
CLEAR-SORT-ARROWS;Method;Keyword
CLEAR;Event;Keyword
Clear;Method;Keyword
CLEAR;Option;Keyword
CLEAR;Statement;Statement
CLIENT-CONNECTION-ID;Attribute;Keyword
CLIENT-PRINCIPAL;Statement;Statement
CLIENT-TTY;Attribute;Keyword
CLIENT-TYPE;Attribute;Keyword
CLIENT-WORKSTATION;Attribute;Keyword
ClientContextId;Property;Keyword
CLIPBOARD;Handle;Keyword
CLIPBOARD;Option;Keyword
CLOB;Type;Type
CLONE-NODE;Method;Keyword
Clone;Method;Keyword
CLOSE-LOG;Method;Keyword
CLOSE;Event;Keyword
CLOSE;Statement;Statement
CODE;Attribute;Keyword
CODEBASE-LOCATOR;Handle;Keyword
CODEPAGE-CONVERT;Function;Keyword
CODEPAGE;Attribute;Keyword
COL-OF;Option;Keyword
COL;Attribute;Keyword
COL;Option;Keyword
COLLATE;Option;Keyword
COLON-ALIGN;Option;Keyword
COLON-ALIGNED;Option;Keyword
COLON;Option;Keyword
COLOR-TABLE;Handle;Keyword
COLOR;Option;Keyword
COLOR;Statement;Statement
COLUMN-BGCOLOR;Attribute;Keyword
COLUMN-CODEPAGE;Option;Keyword
COLUMN-DCOLOR;Attribute;Keyword
COLUMN-FGCOLOR;Attribute;Keyword
COLUMN-FONT;Attribute;Keyword
COLUMN-LAB;Attribute;Keyword
COLUMN-LAB;Option;Keyword
COLUMN-LABEL;Attribute;Keyword
COLUMN-LABEL;Option;Keyword
COLUMN-MOVABLE;Attribute;Keyword
COLUMN-OF;Option;Keyword
COLUMN-PFCOLOR;Attribute;Keyword
COLUMN-READ-ONLY;Attribute;Keyword
COLUMN-RESIZABLE;Attribute;Keyword
COLUMN-SCROLLING;Attribute;Keyword
